Address Rule Id,Residentials Addresses Linked,Num From,Num To,RangeType,Street Name,Zip5,City,TownCode,Ward,District,CongressionalDistrictCode,AssemblyDistrictCode,SenateDistrictCode,LegislativeDistrictCode,VillageCode,SchoolCode,FireCode,CityCouncilCode,TownWardCode
2470,20,111,156,ALL,ABERDEEN TER,13206,SYRACUSE,,005,011,022,129,048,007,,,,005,
2471,8,201,240,ALL,ABERDEEN TER,13206,SYRACUSE,,005,002,022,129,048,009,,,,005,
2728,15,7,129,ALL,ACADEMY GREEN,13207,SYRACUSE,,013,009,022,129,048,015,,,,004,
2729,54,102,503,ALL,ACADEMY PL,13207,SYRACUSE,,013,009,022,129,048,015,,,,004,
2730,4,100,205,ALL,ACADEMY ST,13207,SYRACUSE,,013,009,022,129,048,015,,,,004,
703,93,608,968,ALL,ACKERMAN AVE,13210,SYRACUSE,,016,003,022,129,048,017,,,,003,
704,31,1000,1061,ALL,ACKERMAN AVE,13210,SYRACUSE,,016,002,022,129,048,016,,,,003,
705,1,100,100,EVEN,ACORN PATH,13210,SYRACUSE,,016,002,022,129,048,016,,,,003,
2731,15,100,139,ALL,ALANSON RD,13207,SYRACUSE,,012,005,022,129,048,008,,,,002,
2732,3,201,205,ODD,ALANSON RD,13207,SYRACUSE,,013,003,022,129,048,015,,,,002,
2733,2,202,204,EVEN,ALANSON RD,13207,SYRACUSE,,012,005,022,129,048,008,,,,002,
7329,3,202,208,EVEN,ALBERT RD,13214,SYRACUSE,,017,016,022,128,048,017,,,,003,
7330,15,302,324,ALL,ALBERT RD,13214,SYRACUSE,,017,017,022,128,048,017,,,,003,
4513,29,101,180,ALL,ALBERT TER,13202,SYRACUSE,,018,001,022,128,048,016,,,,004,
706,14,100,139,ALL,ALDEN ST,13210,SYRACUSE,,019,008,022,129,048,016,,,,004,
4514,4,110,123,ALL,ALEXANDER AVE,13202,SYRACUSE,,018,001,022,128,048,016,,,,004,
707,40,203,326,ALL,ALLEN ST,13210,SYRACUSE,,017,006,022,128,048,017,,,,005,
708,49,416,560,ALL,ALLEN ST,13210,SYRACUSE,,017,004,022,128,048,017,,,,003,
709,29,600,700,ALL,ALLEN ST,13210,SYRACUSE,,017,003,022,128,048,015,,,,003,
710,15,701,753,ODD,ALLEN ST,13210,SYRACUSE,,017,012,022,128,048,015,,,,003,
711,19,706,758,EVEN,ALLEN ST,13210,SYRACUSE,,017,003,022,128,048,015,,,,003,
712,240,1207,1207,ODD,ALMOND ST,13210,SYRACUSE,,015,005,022,129,048,016,,,,003,
7521,11,101,208,ALL,ALTON ST,13215,SYRACUSE,,011,007,022,129,048,008,,,,002,
2734,6,100,200,ALL,AMES AVE,13207,SYRACUSE,,013,005,022,129,048,015,,,,004,
3640,21,113,228,ALL,AMHERST AVE,13205,SYRACUSE,,019,005,022,128,048,016,,,,004,
4807,3,114,122,EVEN,AMY ST,13204,SYRACUSE,,008,003,022,128,048,008,,,,002,
3641,29,118,198,ALL,ANDERSON AVE,13205,SYRACUSE,,014,008,022,128,048,016,,,,004,
